Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
101: San José;0,673;0,681;0,683;0,685;0,686;0,687;0,686;0,685;0,683;0,682;0,680;0,679;0,677;
102: Escazú;0,674;0,675;0,678;0,680;0,681;0,683;0,684;0,684;0,683;0,683;0,683;0,682;0,682;
103: Desamparados;0,626;0,626;0,629;0,632;0,634;0,636;0,637;0,637;0,636;0,636;0,636;0,635;0,635;
104: Puriscal;0,514;0,516;0,522;0,529;0,534;0,540;0,543;0,546;0,548;0,550;0,553;0,554;0,555;
105: Tarrazú;0,449;0,462;0,472;0,482;0,490;0,501;0,507;0,512;0,516;0,520;0,524;0,527;0,530;
106: Aserrí;0,590;0,591;0,595;0,597;0,599;0,602;0,604;0,606;0,606;0,607;0,607;0,606;0,606;
107: Mora;0,592;0,597;0,603;0,607;0,612;0,615;0,617;0,619;0,618;0,620;0,620;0,622;0,623;
108: Goicoechea;0,672;0,672;0,675;0,677;0,679;0,682;0,681;0,680;0,678;0,677;0,676;0,674;0,673;
109: Santa Ana;0,643;0,645;0,645;0,645;0,645;0,644;0,645;0,645;0,644;0,644;0,643;0,645;0,647;
110: Alajuelita;0,560;0,565;0,569;0,574;0,578;0,582;0,584;0,585;0,585;0,586;0,586;0,587;0,587;
111: Vázquez de Coronado;0,658;0,660;0,663;0,664;0,665;0,666;0,666;0,666;0,664;0,664;0,663;0,663;0,664;
112: Acosta;0,468;0,473;0,480;0,487;0,493;0,497;0,499;0,501;0,501;0,501;0,502;0,500;0,498;
113: Tibás;0,680;0,683;0,685;0,687;0,689;0,692;0,692;0,692;0,690;0,689;0,689;0,687;0,686;
114: Moravia;0,704;0,702;0,701;0,700;0,699;0,698;0,699;0,698;0,696;0,695;0,695;0,693;0,692;
115: Montes de Oca;0,741;0,742;0,745;0,746;0,747;0,749;0,748;0,747;0,745;0,744;0,743;0,740;0,739;
116: Turrubares;0,474;0,484;0,489;0,496;0,508;0,509;0,511;0,509;0,510;0,512;0,512;0,512;0,513;
117: Dota;0,499;0,509;0,520;0,529;0,537;0,546;0,549;0,553;0,555;0,555;0,558;0,560;0,562;
118: Curridabat;0,670;0,666;0,669;0,670;0,671;0,673;0,674;0,674;0,674;0,673;0,674;0,673;0,672;
119: Pérez Zeledón;0,520;0,537;0,542;0,544;0,546;0,547;0,546;0,545;0,542;0,540;0,538;0,535;0,531;
120: León Cortés;0,472;0,469;0,462;0,461;0,460;0,457;0,460;0,462;0,462;0,465;0,466;0,474;0,483;
201: Alajuela;0,592;0,606;0,609;0,611;0,612;0,614;0,617;0,618;0,618;0,619;0,620;0,622;0,623;
202: San Ramón;0,563;0,563;0,568;0,570;0,571;0,575;0,576;0,576;0,576;0,576;0,576;0,576;0,576;
203: Grecia;0,571;0,574;0,578;0,581;0,583;0,586;0,588;0,589;0,590;0,601;0,602;0,602;0,603;
204: San Mateo;0,552;0,548;0,550;0,552;0,555;0,553;0,554;0,554;0,554;0,553;0,552;0,551;0,550;
205: Atenas;0,575;0,577;0,580;0,582;0,584;0,586;0,587;0,588;0,587;0,587;0,587;0,588;0,590;
206: Naranjo;0,568;0,569;0,574;0,577;0,579;0,584;0,588;0,590;0,591;0,593;0,595;0,596;0,598;
207: Palmares;0,590;0,587;0,589;0,587;0,585;0,586;0,587;0,588;0,588;0,589;0,589;0,589;0,590;
208: Poás;0,555;0,559;0,561;0,564;0,567;0,569;0,571;0,571;0,570;0,570;0,571;0,572;0,573;
209: Orotina;0,544;0,546;0,549;0,553;0,558;0,559;0,560;0,560;0,559;0,558;0,558;0,559;0,561;
210: San Carlos;0,500;0,505;0,513;0,518;0,524;0,527;0,530;0,532;0,533;0,535;0,536;0,539;0,543;
211: Zarcero;0,523;0,517;0,519;0,520;0,523;0,525;0,529;0,531;0,532;0,533;0,535;0,541;0,546;
212: Sarchí;0,551;0,553;0,561;0,564;0,567;0,573;0,577;0,581;0,582;0,585;0,587;0,587;0,587;
213: Upala;0,425;0,433;0,445;0,452;0,459;0,464;0,467;0,469;0,468;0,469;0,469;0,469;0,468;
214: Los Chiles;0,404;0,412;0,419;0,424;0,429;0,430;0,431;0,430;0,428;0,427;0,426;0,425;0,425;
215: Guatuso;0,444;0,447;0,450;0,456;0,459;0,459;0,458;0,454;0,451;0,447;0,444;0,443;0,442;
216: Río Cuarto;;;;;;;;;;0,538;0,542;0,608;0,612;
301: Cartago;0,599;0,617;0,621;0,624;0,627;0,631;0,632;0,632;0,631;0,631;0,631;0,631;0,631;
302: Paraíso;0,560;0,563;0,568;0,573;0,578;0,580;0,580;0,579;0,577;0,576;0,575;0,574;0,573;
303: La Unión;0,625;0,624;0,628;0,627;0,627;0,628;0,629;0,629;0,628;0,627;0,627;0,626;0,626;
304: Jiménez;0,507;0,507;0,508;0,510;0,512;0,516;0,520;0,524;0,526;0,528;0,531;0,531;0,531;
305: Turrialba;0,524;0,523;0,523;0,523;0,523;0,524;0,524;0,523;0,522;0,520;0,519;0,517;0,516;
306: Alvarado;0,543;0,547;0,550;0,555;0,559;0,563;0,565;0,565;0,565;0,566;0,566;0,566;0,567;
307: Oreamuno;0,597;0,597;0,599;0,603;0,607;0,610;0,611;0,612;0,611;0,612;0,612;0,611;0,611;
308: El Guarco;0,553;0,556;0,560;0,564;0,567;0,569;0,573;0,575;0,576;0,578;0,580;0,579;0,579;
401: Heredia;0,685;0,684;0,685;0,685;0,684;0,685;0,687;0,687;0,687;0,687;0,687;0,686;0,686;
402: Barva;0,633;0,633;0,633;0,633;0,632;0,634;0,635;0,635;0,634;0,634;0,634;0,635;0,637;
403: Santo Domingo;0,659;0,658;0,658;0,657;0,656;0,656;0,656;0,656;0,655;0,654;0,654;0,654;0,654;
404: Santa Bárbara;0,602;0,602;0,604;0,606;0,608;0,609;0,612;0,613;0,613;0,615;0,616;0,618;0,620;
405: San Rafael;0,618;0,620;0,622;0,624;0,625;0,626;0,628;0,628;0,627;0,627;0,627;0,628;0,628;
406: San Isidro;0,633;0,632;0,633;0,633;0,632;0,633;0,635;0,636;0,636;0,637;0,638;0,639;0,641;
407: Belén;0,647;0,650;0,655;0,659;0,663;0,668;0,669;0,670;0,670;0,671;0,671;0,671;0,672;
408: Flores;0,621;0,621;0,621;0,620;0,619;0,620;0,621;0,623;0,623;0,624;0,624;0,625;0,626;
409: San Pablo;0,690;0,688;0,687;0,686;0,684;0,684;0,684;0,683;0,682;0,681;0,681;0,681;0,681;
410: Sarapiquí;0,369;0,393;0,405;0,414;0,423;0,430;0,439;0,446;0,451;0,456;0,461;0,467;0,473;
501: Liberia;0,513;0,545;0,550;0,554;0,558;0,561;0,563;0,565;0,565;0,566;0,566;0,569;0,572;
502: Nicoya;0,511;0,503;0,507;0,508;0,509;0,510;0,511;0,511;0,510;0,509;0,509;0,510;0,511;
503: Santa Cruz;0,431;0,456;0,453;0,451;0,449;0,449;0,450;0,451;0,450;0,450;0,450;0,452;0,455;
504: Bagaces;0,461;0,466;0,474;0,481;0,488;0,491;0,494;0,497;0,498;0,499;0,500;0,501;0,503;
505: Carrillo;0,495;0,493;0,496;0,499;0,501;0,502;0,503;0,504;0,502;0,502;0,501;0,504;0,507;
506: Cañas;0,511;0,517;0,520;0,523;0,525;0,530;0,534;0,537;0,539;0,541;0,543;0,548;0,552;
507: Abangares;0,486;0,486;0,489;0,490;0,490;0,493;0,496;0,499;0,500;0,502;0,504;0,505;0,505;
508: Tilarán;0,525;0,528;0,535;0,538;0,541;0,544;0,546;0,547;0,547;0,547;0,548;0,548;0,548;
509: Nandayure;0,413;0,410;0,405;0,407;0,408;0,406;0,405;0,404;0,402;0,400;0,397;0,395;0,395;
510: La Cruz;0,426;0,434;0,441;0,448;0,455;0,459;0,464;0,468;0,469;0,471;0,473;0,476;0,479;
511: Hojancha;0,393;0,397;0,391;0,396;0,402;0,406;0,409;0,410;0,410;0,412;0,414;0,416;0,420;
601: Puntarenas;0,489;0,505;0,507;0,510;0,511;0,515;0,518;0,521;0,522;0,524;0,525;0,526;0,528;
602: Esparza;0,534;0,532;0,534;0,533;0,532;0,533;0,537;0,540;0,541;0,544;0,545;0,548;0,552;
603: Buenos Aires;0,387;0,394;0,404;0,409;0,414;0,420;0,427;0,432;0,435;0,439;0,443;0,445;0,447;
604: Montes de Oro;0,515;0,512;0,517;0,523;0,530;0,533;0,534;0,535;0,534;0,534;0,534;0,536;0,538;
605: Osa;0,408;0,409;0,413;0,412;0,409;0,407;0,405;0,403;0,400;0,397;0,394;0,393;0,392;
606: Quepos;0,455;0,459;0,465;0,471;0,476;0,479;0,483;0,486;0,488;0,490;0,492;0,495;0,498;
607: Golfito;0,424;0,427;0,433;0,435;0,436;0,437;0,437;0,437;0,435;0,433;0,432;0,431;0,425;
608: Coto Brus;0,358;0,403;0,409;0,414;0,417;0,421;0,423;0,423;0,421;0,421;0,419;0,414;0,410;
609: Parrita;0,421;0,434;0,445;0,456;0,466;0,474;0,480;0,486;0,490;0,494;0,498;0,504;0,510;
610: Corredores;0,483;0,484;0,490;0,491;0,492;0,492;0,492;0,491;0,488;0,486;0,484;0,482;0,481;
611: Garabito;0,450;0,449;0,449;0,448;0,447;0,445;0,450;0,455;0,458;0,461;0,465;0,474;0,483;
612: Monteverde;;;;;;;;;;;;;0,522;
613: Puerto Jiménez;;;;;;;;;;;;;0,445;
701: Limón;0,508;0,515;0,522;0,527;0,531;0,537;0,541;0,545;0,547;0,550;0,552;0,554;0,557;
702: Pococí;0,448;0,468;0,475;0,479;0,483;0,487;0,490;0,491;0,492;0,493;0,493;0,495;0,498;
703: Siquirres;0,431;0,436;0,444;0,450;0,455;0,461;0,465;0,468;0,468;0,470;0,472;0,473;0,475;
704: Talamanca;0,331;0,334;0,346;0,354;0,362;0,369;0,376;0,381;0,383;0,387;0,390;0,394;0,399;
705: Matina;0,345;0,352;0,361;0,369;0,377;0,384;0,391;0,396;0,399;0,404;0,407;0,409;0,412;
706: Guácimo;0,437;0,444;0,452;0,456;0,460;0,466;0,471;0,475;0,476;0,479;0,482;0,484;0,486;
