Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
101: San José;0,886;0,889;0,892;0,895;0,898;0,901;0,904;0,907;0,909;0,912;0,915;0,918;0,921;
102: Escazú;0,913;0,920;0,927;0,933;0,940;0,947;0,953;0,960;0,967;0,973;0,980;0,986;0,993;
103: Desamparados;0,891;0,897;0,903;0,908;0,914;0,919;0,925;0,930;0,936;0,942;0,947;0,953;0,958;
104: Puriscal;0,911;0,923;0,935;0,947;0,958;0,970;0,982;0,994;1,000;1,000;1,000;1,000;1,000;
105: Tarrazú;0,819;0,830;0,841;0,852;0,863;0,874;0,885;0,897;0,908;0,919;0,930;0,941;0,952;
106: Aserrí;0,874;0,884;0,893;0,903;0,912;0,922;0,932;0,941;0,951;0,960;0,970;0,979;0,989;
107: Mora;0,912;0,921;0,931;0,941;0,951;0,960;0,970;0,980;0,990;0,999;1,000;1,000;1,000;
108: Goicoechea;0,900;0,904;0,908;0,912;0,916;0,920;0,924;0,928;0,933;0,937;0,941;0,945;0,949;
109: Santa Ana;0,909;0,918;0,927;0,935;0,944;0,952;0,961;0,969;0,978;0,986;0,995;1,000;1,000;
110: Alajuelita;0,865;0,871;0,878;0,884;0,891;0,897;0,903;0,910;0,916;0,923;0,929;0,936;0,942;
111: Vázquez de Coronado;0,928;0,936;0,944;0,953;0,961;0,970;0,978;0,987;0,995;1,000;1,000;1,000;1,000;
112: Acosta;0,893;0,907;0,921;0,935;0,949;0,963;0,977;0,991;1,000;1,000;1,000;1,000;1,000;
113: Tibás;0,916;0,921;0,926;0,931;0,935;0,940;0,945;0,950;0,954;0,959;0,964;0,968;0,973;
114: Moravia;0,928;0,933;0,938;0,943;0,949;0,954;0,959;0,964;0,969;0,974;0,979;0,985;0,990;
115: Montes de Oca;0,937;0,940;0,944;0,947;0,950;0,954;0,957;0,960;0,963;0,967;0,970;0,973;0,977;
116: Turrubares;0,860;0,871;0,883;0,894;0,906;0,917;0,929;0,940;0,952;0,963;0,975;0,986;0,998;
117: Dota;0,859;0,871;0,883;0,894;0,906;0,918;0,929;0,941;0,952;0,964;0,976;0,987;0,999;
118: Curridabat;0,901;0,906;0,910;0,915;0,920;0,925;0,930;0,935;0,940;0,945;0,950;0,955;0,960;
119: Pérez Zeledón;0,849;0,860;0,871;0,882;0,893;0,904;0,915;0,926;0,937;0,948;0,958;0,969;0,980;
120: León Cortés;0,818;0,831;0,843;0,856;0,868;0,881;0,893;0,906;0,918;0,931;0,943;0,956;0,968;
201: Alajuela;0,883;0,890;0,897;0,905;0,912;0,919;0,927;0,934;0,942;0,949;0,956;0,964;0,971;
202: San Ramón;0,891;0,901;0,911;0,921;0,931;0,941;0,951;0,961;0,971;0,981;0,991;1,000;1,000;
203: Grecia;0,888;0,898;0,909;0,919;0,929;0,939;0,949;0,959;0,969;0,979;0,989;0,999;1,000;
204: San Mateo;0,840;0,849;0,857;0,865;0,874;0,882;0,891;0,899;0,908;0,916;0,925;0,933;0,942;
