Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
101: San José;336500;378112;388764;396626;397477;399906;406576;405514;405924;405731;339479;386042;386524;
102: Escazú;583686;658256;696033;736479;762090;762106;777656;779800;776620;787583;647060;763275;773172;
103: Desamparados;281931;315223;330670;341971;349340;348788;356289;356231;353012;356015;302434;351856;348991;
104: Puriscal;243268;274627;293243;304005;316061;316300;330616;331508;335322;342090;298790;358665;363076;
105: Tarrazú;188741;211100;223029;230117;236221;240609;252155;255310;257327;262732;232163;287289;290608;
106: Aserrí;252417;282291;305701;319154;330093;330025;341476;342406;342635;347200;298681;354093;356340;
107: Mora;337066;380916;416011;442478;460222;466324;493799;498321;509507;531592;465519;569949;582457;
108: Goicoechea;319729;357716;371365;376614;383002;381828;387553;386364;382430;381728;320224;372868;374010;
109: Santa Ana;560187;623794;696033;736479;762090;762106;777656;779800;776620;787583;647060;763275;773172;
110: Alajuelita;234707;260814;274821;279870;280552;280288;285117;282096;282299;282622;253832;292499;296477;
111: Vázquez de Coronado;358904;400705;423519;435798;450141;446674;457809;455719;453911;449028;380833;444654;444647;
112: Acosta;218370;248289;267903;285481;295991;299653;316321;319357;324973;330197;285230;342464;345290;
113: Tibás;308647;345779;351446;360830;359353;355817;351976;347655;339900;331186;277679;324266;326607;
114: Moravia;413098;463516;488358;498704;507765;510084;521868;525029;520943;520103;441247;518178;527378;
115: Montes de Oca;428777;482270;498146;507664;518530;520894;532624;535800;533123;532060;438062;510116;526752;
116: Turrubares;104678;118785;146157;164592;188892;191862;215708;221935;223339;236633;210520;267091;272314;
117: Dota;132379;151538;176369;190860;210714;211368;230293;233017;234576;245750;218965;279383;286490;
118: Curridabat;420286;470658;493796;506420;518209;519852;534876;536213;536282;541545;455035;538488;545990;
119: Pérez Zeledón;228563;242952;222377;243115;252091;260812;279724;260604;289461;302948;311986;309284;327007;
120: León Cortés;181646;205562;214065;221196;227809;227950;235381;235109;235256;237839;209112;253056;260179;
201: Alajuela;294141;327843;354187;370803;386364;391250;414448;418399;423997;434854;380233;451527;456878;
202: San Ramón;243896;276530;297536;310905;321921;327095;345860;350280;354094;362009;314715;378622;388182;
203: Grecia;269612;304398;325587;335794;346175;347853;361928;363802;363394;390016;338888;405924;415669;
204: San Mateo;109199;121973;139004;148815;155871;169235;183382;179174;187534;185073;166141;201365;220019;
205: Atenas;345006;394446;424118;444379;460888;464117;487562;489763;497188;517717;448281;534967;545310;
206: Naranjo;240440;272427;292157;302678;311468;313402;326246;327834;329076;332097;286816;341852;347458;
207: Palmares;270883;302749;318044;329765;336074;335258;344738;342528;345027;349974;304592;360143;364614;
208: Poás;241771;271633;294957;309862;328082;331023;352545;356280;359931;363335;312748;369282;371744;
209: Orotina;265747;288690;302139;310569;308368;335806;352248;343262;357424;340996;296846;341397;364241;
210: San Carlos;359979;344352;369106;373462;358387;349632;363469;358107;349280;378366;351847;317408;414163;
211: Zarcero;262021;307455;319456;329323;340713;373143;420690;451670;456702;465597;386624;457165;471722;
212: Sarchí;222123;253925;268363;276542;290583;290837;304189;306517;305946;310023;270504;325868;328585;
213: Upala;193650;192511;216467;229017;225279;222523;237513;237981;232661;243665;226560;208605;271044;
214: Los Chiles;167000;163588;185279;193994;186817;184521;196885;194223;192616;205208;189311;172280;220310;
